城市,区域,房屋类型,面积(平方米),房间数,客厅数,卫生间数,楼层,总楼层,建筑年份,房龄(年),朝向,装修情况,总价(元),单价(元/平方米),是否有电梯,是否有车位,是否有学区,挂牌日期
重庆,江北区,别墅,492.7,6,4,2,26,28,1999,25,西北,毛坯,5583155,11332,有,无,是,2025-10-23
大连,沙河口区,普通住宅,89.4,4,1,1,20,30,2008,16,北,简装修,1060253,11860,有,无,否,2025-02-17
长沙,开福区,普通住宅,106.2,3,1,3,23,25,2012,12,北,豪华装修,1446355,13619,有,有,是,2025-10-08
西安,莲湖区,别墅,232.6,4,2,4,14,25,2004,20,东北,毛坯,3069220,13195,有,有,是,2025-10-06
南京,鼓楼区,写字楼,177.9,0,1,2,28,30,2015,9,西北,毛坯,3203040,18005,有,有,否,2025-07-17
郑州,金水区,普通住宅,152.6,2,2,3,19,35,2017,7,西南,简装修,1623606,10640,有,有,是,2025-09-23
上海,黄浦区,普通住宅,152.9,2,1,2,14,25,2019,5,东南,精装修,13985485,91468,有,有,否,2025-10-24
武汉,武昌区,写字楼,76.7,0,1,2,2,20,2011,13,东南,豪华装修,926090,12074,有,无,是,2024-11-29
上海,浦东新区,公寓,38.6,2,1,1,35,35,2014,10,东南,精装修,2737908,70930,有,有,否,2025-09-15
南京,建邺区,普通住宅,115.9,2,1,1,18,25,2002,22,西南,毛坯,2348032,20259,有,有,是,2025-06-16
南京,鼓楼区,普通住宅,190.0,4,2,2,8,8,2013,11,东,豪华装修,5241209,27585,有,无,否,2025-04-05
郑州,管城区,普通住宅,155.9,3,1,3,30,33,2024,0,东南,精装修,1908483,12242,有,无,否,2025-07-11
广州,越秀区,别墅,190.2,5,4,4,32,33,2008,16,南,毛坯,11036171,58024,有,有,是,2025-07-05
杭州,余杭区,公寓,40.1,1,1,1,26,33,2008,16,东,豪华装修,1174150,29281,有,无,是,2025-06-29
上海,黄浦区,普通住宅,148.5,3,2,1,19,21,2021,3,东南,简装修,12998967,87535,有,无,是,2025-06-17
大连,旅顺口区,普通住宅,95.6,3,2,2,6,20,2009,15,东南,精装修,1329156,13903,有,有,否,2025-02-03
北京,东城区,写字楼,125.7,0,1,1,15,21,2001,23,东南,精装修,7117800,56625,有,无,否,2025-09-18
郑州,二七区,写字楼,73.8,0,1,2,20,35,2016,8,西,简装修,576092,7806,有,有,是,2024-12-24
苏州,工业园区,写字楼,193.3,0,1,1,14,16,2012,12,南,简装修,3437006,17781,有,无,是,2024-12-13
广州,白云区,普通住宅,166.7,3,1,3,10,11,2015,9,西,毛坯,4829411,28971,有,无,否,2025-07-11
武汉,汉阳区,公寓,45.4,2,1,1,15,18,2010,14,东南,毛坯,430186,9475,有,有,是,2024-12-14
杭州,西湖区,商住两用,64.1,2,1,1,15,35,2016,8,东北,简装修,1924405,30022,有,有,否,2025-04-29
大连,甘井子区,写字楼,56.3,0,1,1,5,17,2000,24,西南,简装修,490313,8709,有,有,是,2024-11-20
深圳,宝安区,公寓,67.5,2,1,1,4,17,1995,29,西北,简装修,2479795,36738,有,无,否,2025-01-05
苏州,相城区,普通住宅,188.3,4,2,3,31,35,2020,4,东北,毛坯,3640767,19335,有,有,是,2025-04-22
天津,河西区,商住两用,155.2,3,1,3,34,34,1997,27,东北,精装修,2381502,15345,有,有,否,2025-06-22
武汉,武昌区,别墅,349.4,7,4,4,3,8,1995,29,东北,精装修,6091020,17433,有,有,否,2025-01-29
成都,成华区,商住两用,107.7,2,2,3,27,34,1997,27,东北,精装修,1626260,15100,有,无,是,2025-10-02
青岛,城阳区,公寓,57.9,2,1,2,18,18,2003,21,东北,豪华装修,804326,13892,有,无,否,2025-09-26
长沙,芙蓉区,别墅,428.2,6,3,5,3,9,2015,9,东北,精装修,8280954,19339,有,有,是,2025-08-19
苏州,吴江区,公寓,32.3,1,1,1,6,24,2007,17,西,精装修,666483,20634,有,无,是,2025-03-17
北京,朝阳区,商住两用,123.6,3,2,1,29,31,2002,22,西,毛坯,7058672,57109,有,有,是,2025-10-28
广州,海珠区,公寓,36.5,1,1,1,17,29,2022,2,东南,豪华装修,1554767,42596,有,有,否,2024-11-15
杭州,拱墅区,商住两用,97.8,3,2,2,25,33,2024,0,东南,简装修,3708162,37916,有,有,是,2025-03-09
广州,海珠区,写字楼,272.9,0,1,2,20,28,2016,8,西,豪华装修,9527932,34914,有,无,是,2025-10-21
深圳,罗湖区,商住两用,83.1,4,1,3,11,13,1992,32,西北,精装修,4880650,58732,有,无,否,2025-05-18
天津,和平区,写字楼,156.9,0,2,1,9,19,2016,8,南,毛坯,2042329,13017,有,无,否,2024-11-16
大连,金州区,写字楼,93.3,0,2,2,10,14,1997,27,东北,精装修,843613,9042,有,有,否,2025-07-19
上海,浦东新区,商住两用,153.2,4,1,1,17,26,2014,10,西北,豪华装修,13852314,90420,有,无,是,2025-02-16
杭州,西湖区,普通住宅,109.7,2,1,1,10,10,2022,2,西北,毛坯,3157521,28783,有,无,否,2024-12-23
西安,未央区,别墅,428.9,4,4,2,29,35,1998,26,东,精装修,6222744,14509,有,有,否,2025-06-20
成都,金牛区,普通住宅,141.4,2,2,3,30,31,2000,24,南,简装修,1759889,12446,有,有,是,2024-11-22
广州,海珠区,公寓,39.2,1,1,1,17,24,2024,0,东北,毛坯,1368260,34905,有,无,否,2025-01-28
西安,碑林区,别墅,188.1,3,2,2,22,22,1994,30,北,简装修,2212440,11762,有,无,是,2025-01-11
郑州,上街区,普通住宅,190.8,2,1,3,3,25,1996,28,东北,精装修,1892616,9919,有,有,否,2024-12-14
重庆,大渡口区,普通住宅,160.9,2,2,2,10,25,2003,21,南,豪华装修,1624412,10096,有,无,是,2025-02-27
南京,建邺区,公寓,79.7,2,1,2,22,25,1996,28,东,简装修,1420724,17826,有,有,否,2025-07-30
郑州,金水区,写字楼,207.0,0,2,3,2,32,2024,0,东南,简装修,1733884,8376,有,无,否,2025-08-19
成都,武侯区,公寓,51.7,1,1,2,33,35,2020,4,东,豪华装修,939008,18163,有,无,否,2025-06-27
武汉,武昌区,商住两用,87.4,2,1,3,30,32,2002,22,南,精装修,1008374,11537,有,有,是,2025-03-21
上海,虹口区,写字楼,91.1,0,1,1,9,13,2009,15,西南,豪华装修,5155991,56597,有,有,否,2025-09-06
大连,西岗区,商住两用,135.5,4,2,3,34,35,2010,14,西,简装修,1452729,10721,有,无,否,2025-03-10
大连,西岗区,公寓,54.2,2,1,1,32,32,1992,32,南,豪华装修,566882,10459,有,有,否,2025-02-02
成都,金牛区,公寓,47.0,1,1,2,8,34,2022,2,东北,豪华装修,796221,16941,有,无,是,2025-01-27
上海,徐汇区,别墅,228.0,4,2,4,31,33,2022,2,西南,毛坯,21177511,92884,有,无,否,2025-09-12
郑州,上街区,普通住宅,65.4,4,1,1,24,29,2013,11,东,毛坯,579436,8860,有,无,否,2025-09-23
南京,鼓楼区,公寓,64.4,2,1,2,34,35,2024,0,西南,毛坯,1426614,22152,有,有,是,2025-02-12
武汉,江岸区,商住两用,113.2,4,1,3,28,31,2021,3,西北,简装修,1526568,13486,有,有,是,2025-02-08
长沙,开福区,写字楼,247.5,0,2,1,10,17,2000,24,西北,简装修,2034595,8221,有,有,否,2024-12-12
大连,旅顺口区,写字楼,119.6,0,1,3,10,33,2002,22,东南,豪华装修,1193416,9978,有,无,是,2025-01-20
广州,荔湾区,商住两用,156.3,3,1,1,19,22,2014,10,西南,简装修,5775641,36952,有,无,否,2025-11-10
大连,中山区,写字楼,291.0,0,2,1,7,31,2014,10,东南,简装修,3157551,10851,有,无,否,2025-07-01
南京,鼓楼区,公寓,76.0,2,1,2,9,11,2011,13,南,简装修,1578926,20775,有,无,否,2024-12-07
成都,金牛区,商住两用,165.4,2,2,2,11,30,1994,30,北,豪华装修,2734049,16530,有,无,是,2025-06-16
南京,鼓楼区,商住两用,67.4,2,1,1,20,34,2012,12,北,豪华装修,2017177,29928,有,无,否,2025-03-17
大连,西岗区,别墅,407.6,3,3,2,6,15,2017,7,东,精装修,8582153,21055,有,有,否,2025-01-25
西安,雁塔区,公寓,65.5,1,1,2,8,24,2023,1,西,简装修,615612,9399,有,有,否,2024-12-26
大连,甘井子区,公寓,62.6,1,1,2,9,26,2016,8,东,毛坯,596011,9521,有,有,否,2025-03-04
北京,丰台区,写字楼,277.2,0,2,3,35,35,1999,25,东南,豪华装修,14726813,53127,有,无,否,2025-04-30
大连,旅顺口区,写字楼,298.8,0,1,1,24,27,1990,34,西,豪华装修,2773721,9283,有,无,否,2025-03-03
天津,河西区,别墅,414.1,5,3,5,22,33,2004,20,西,简装修,10372062,25047,有,有,是,2025-02-17
杭州,上城区,普通住宅,194.4,2,2,2,8,21,1994,30,东,精装修,5055770,26007,有,有,否,2025-10-03
天津,河西区,商住两用,137.5,3,2,1,34,35,1990,34,东南,简装修,2123866,15446,有,有,否,2025-03-25
深圳,福田区,公寓,35.3,1,1,1,27,29,1991,33,北,豪华装修,1931846,54727,有,无,是,2024-12-04
成都,成华区,普通住宅,156.6,3,1,2,13,26,2010,14,西南,毛坯,2304216,14714,有,有,否,2025-04-19
南京,建邺区,写字楼,260.6,0,2,1,22,29,2009,15,东南,精装修,6088160,23362,有,无,否,2025-01-16
长沙,芙蓉区,商住两用,83.4,2,2,3,17,17,2018,6,东,精装修,1106095,13263,有,无,否,2025-08-28
长沙,望城区,公寓,55.9,1,1,2,8,23,1993,31,西北,毛坯,434713,7777,有,无,是,2025-03-18
成都,青羊区,别墅,296.6,4,4,2,4,34,2019,5,东北,精装修,7919680,26702,有,无,是,2025-05-14
西安,灞桥区,别墅,398.4,5,2,4,19,20,1994,30,西北,毛坯,5099947,12801,有,有,是,2025-08-18
郑州,中原区,普通住宅,124.3,3,2,3,32,35,2005,19,南,豪华装修,1421440,11436,有,无,否,2025-08-18
郑州,金水区,普通住宅,107.7,3,2,3,2,32,2020,4,西南,豪华装修,1599442,14851,有,有,是,2025-01-20
广州,天河区,写字楼,144.9,0,2,3,5,30,2001,23,东北,简装修,4593351,31700,有,无,是,2025-01-14
武汉,硚口区,商住两用,150.5,2,2,3,12,17,1999,25,东北,毛坯,1536754,10211,有,有,是,2024-11-24
青岛,市南区,普通住宅,140.2,4,1,3,1,34,2012,12,西,毛坯,1932679,13785,有,无,否,2025-02-17
大连,西岗区,公寓,40.4,2,1,2,25,30,2023,1,西,精装修,487003,12055,有,无,是,2025-06-06
青岛,市南区,写字楼,214.9,0,2,3,14,29,1992,32,东北,毛坯,2183807,10162,有,无,否,2024-12-01
武汉,硚口区,普通住宅,113.3,2,1,2,28,33,2022,2,东,毛坯,1242535,10967,有,有,否,2025-04-02
杭州,上城区,别墅,460.2,3,4,4,8,27,2016,8,西南,豪华装修,26458757,57494,有,无,否,2025-07-28
武汉,洪山区,普通住宅,64.0,3,2,3,14,35,2022,2,东北,毛坯,844147,13190,有,有,否,2025-07-08
青岛,黄岛区,公寓,62.8,1,1,2,11,20,2020,4,东南,简装修,1029218,16389,有,有,是,2025-10-26
武汉,武昌区,别墅,299.0,4,2,3,2,21,2023,1,南,精装修,6624789,22156,有,无,否,2024-11-20
